danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,track_id,track_name,track_source_playlist,track_artists_id,track_artists_name,track_artists_followers,track_artists_genres,track_artists_popularity,release_date,release_date_precision,popularity,generated_timestamp
0.68,0.411,9,-9.761,1,0.434,0.0336,0.0,0.0889,0.161,193.131,233515,4,7ngdkrVQPgP3AoIxUrTpHT,Who Do You Love?,62y3BHKehWnb1hlaPclDAA,"0A0FS04o6zMoto8OKPsDwY,3TVXtAsR1Inumwj472S9r4",YG|Drake,3205645|83626299,cali rap|hip hop|pop rap|rap|southern hip hop|trap|canadian hip hop|canadian pop|hip hop|pop rap|rap,72|96,2014-03-18,day,71,2024-01-08
0.863,0.705,8,-6.202,1,0.31,0.05,2.21e-05,0.524,0.599,145.099,189013,4,1PNGJBI1Lx0h8QCpkHKZLU,Tom Ford,62y3BHKehWnb1hlaPclDAA,3nFkdlSjzX9mRTtwJOzDYB,JAY-Z,8801570,east coast hip hop|gangster rap|hip hop|pop rap|rap,82,2013-07-04,day,52,2024-01-08
0.749,0.865,3,-5.228,1,0.0413,0.00536,0.0,0.198,0.371,111.914,216027,4,4y2bMYA83ZNN3pW47ZOgmr,Man Of The Year,62y3BHKehWnb1hlaPclDAA,5IcR3N7QB1j6KBL8eImZ8m,ScHoolboy Q,4616817,gangster rap|hip hop|pop rap|rap|southern hip hop|trap,70,2014-01-01,day,34,2024-01-08
0.869,0.626,11,-4.832,1,0.126,0.0754,0.0,0.0776,0.316,131.075,340480,4,7GEidxhfGNteiW9n0kLyxH,"Move That Dope (feat. Pharrell, Pusha T & Casino)",62y3BHKehWnb1hlaPclDAA,"1RyvyyTE3xzB2ZywiAwp0i,2RdwBSPQiwcmiDo9kixcl8,0ONHkAv9pCAFxb0zJwDNTy,1Q9yutXUVHodDxHIacpEMT",Future|Pharrell Williams|Pusha T|Casino,15692678|4336597|2882949|4948,atl hip hop|hip hop|rap|southern hip hop|trap|dance pop|pop|gangster rap|hip hop|pop rap|rap|southern hip hop|trap|virginia hip hop|atl trap,88|78|72|33,2014-04-22,day,53,2024-01-08
0.711,0.508,7,-7.299,1,0.0502,0.0355,0.0,0.141,0.663,98.098,217800,4,4q6dqyGM25sKFU8nYAGRe4,Show Me (feat. Chris Brown),62y3BHKehWnb1hlaPclDAA,"6KZDXtSj0SzGOV705nNeh3,7bXgB6jMjp9ATFy66eO08Z",Kid Ink|Chris Brown,2988092|20955452,pop rap|rap|southern hip hop|trap|r&b|rap,64|86,2014-01-06,day,71,2024-01-08
0.876,0.675,3,-3.28,0,0.146,0.421,1.16e-06,0.0667,0.606,135.959,240000,4,1jROHCeEzDr6VnV8EnBnik,Stoner,62y3BHKehWnb1hlaPclDAA,50co4Is1HCEo8bhOyUWKpn,Young Thug,9355686,atl hip hop|atl trap|gangster rap|melodic rap|rap|trap,83,2014-02-04,day,49,2024-01-08
0.831,0.651,1,-8.363,1,0.437,0.0125,0.0,0.0809,0.502,120.065,224013,4,3IQgeOgdHIag6mu0mgKRgQ,The Language,62y3BHKehWnb1hlaPclDAA,3TVXtAsR1Inumwj472S9r4,Drake,83626299,canadian hip hop|canadian pop|hip hop|pop rap|rap,96,2013-01-01,day,57,2024-01-08
0.845,0.54,10,-7.864,0,0.127,0.0299,0.0,0.12,0.443,97.516,207267,4,0Nf3vtVBfiayZL7c8r4KBO,Gas Pedal,62y3BHKehWnb1hlaPclDAA,"6d47Z08T4snK50HgTEHo5Z,2ZavqCJe7uqkRpISes0NFi",Sage The Gemini|Iamsu!,866567|277600,hyphy|pop rap|southern hip hop|trap|cali rap,61|54,2013-01-01,day,52,2024-01-08
0.606,0.784,7,-6.293,1,0.268,0.435,0.0,0.689,0.48,80.985,278573,4,5gFoAVTN9YlM9uJCrFZtgl,Crooked Smile (feat. TLC),62y3BHKehWnb1hlaPclDAA,"6l3HvQ5sa6mXTsMTB19rO5,0TImkz4nPqjegtVSMZnMRq",J. Cole|TLC,22394288|3817285,conscious hip hop|hip hop|north carolina hip hop|rap|atl hip hop|contemporary r&b|dance pop|girl group|hip pop|r&b|urban contemporary,86|67,2013-06-18,day,71,2024-01-08
0.556,0.644,6,-5.805,0,0.402,0.0558,2.32e-05,0.35,0.499,140.009,326347,4,671XaUBmifTMXDbZK5CB1M,Mercy.1,62y3BHKehWnb1hlaPclDAA,"5K4W6rqBFWDnAN6FQUkS6x,0c173mlxpT3dSFRgMO8XPh,0ONHkAv9pCAFxb0zJwDNTy,17lzZA2AlOHwCwFALHttmp",Kanye West|Big Sean|Pusha T|2 Chainz,22986248|11115824|2882949|8017349,chicago rap|hip hop|rap|detroit hip hop|hip hop|pop rap|r&b|rap|trap|gangster rap|hip hop|pop rap|rap|southern hip hop|trap|virginia hip hop|atl hip hop|hip hop|pop rap|rap|southern hip hop|trap,91|75|72|75,2012-01-01,day,60,2024-01-08
0.684,0.689,11,-4.752,1,0.294,0.0264,0.0,0.0942,0.317,138.147,272707,4,7AzunAhx3JfoHxYS5N6KVx,"TKO (Black Friday Remix) (feat. J. Cole, A$AP Rocky & Pusha T)",62y3BHKehWnb1hlaPclDAA,"31TPClRtHm23RisEBtV3X7,6l3HvQ5sa6mXTsMTB19rO5,13ubrt8QOOCPljQ2FL1Kca,0ONHkAv9pCAFxb0zJwDNTy",Justin Timberlake|J. Cole|A$AP Rocky|Pusha T,13560903|22394288|13299639|2882949,dance pop|pop|conscious hip hop|hip hop|north carolina hip hop|rap|east coast hip hop|hip hop|rap|trap|gangster rap|hip hop|pop rap|rap|southern hip hop|trap|virginia hip hop,81|86|81|72,2013-12-11,day,42,2024-01-08
0.85,0.509,6,-9.637,0,0.378,0.147,0.0,0.0759,0.763,134.9,261321,4,6nu35hLc8zsA9bwBpcuf5L,Type of Way,62y3BHKehWnb1hlaPclDAA,5lHRUCqkQZCIWeX7xG4sYT,Rich Homie Quan,2800643,atl hip hop|rap|southern hip hop|trap,63,2013-04-30,day,58,2024-01-08
0.42,0.651,10,-4.792,0,0.323,0.399,0.0,0.78,0.67,185.986,262857,3,4Z9IvDlREqlkgo7SzMX70q,"U.O.E.N.O. (feat. Future, Rick Ross)",62y3BHKehWnb1hlaPclDAA,0T5OJgMVjKIX3b3W3ekqOl,Rocko,549281,atl hip hop|dirty south rap|old school atlanta hip hop|trap,46,2013-03-05,day,28,2024-01-08
0.738,0.547,8,-6.54,1,0.133,0.0522,1.23e-06,0.109,0.306,142.052,284600,4,2kEDuZRwYUoQLIYKpQfKWa,Tapout,62y3BHKehWnb1hlaPclDAA,"5pU9lKGn9IUnVvOCONrcIS,55Aa2cqylxrFIXC767Z865,35sCXuy5gN6Or69rZ9vqBs,18AOdS1Qw4XXnQSiPJQr1B,0hCNtLu0JehylgoiP8L4Gh,1RyvyyTE3xzB2ZywiAwp0i",Rich Gang|Lil Wayne|Birdman|Mack Maine|Nicki Minaj|Future,14138|14232381|1285117|4603|30496118|15692678,|hip hop|new orleans rap|pop rap|rap|trap|dirty south rap|southern hip hop||hip pop|pop|queens hip hop|rap|atl hip hop|hip hop|rap|southern hip hop|trap,53|85|60|47|88|88,2013-01-01,day,61,2024-01-08
0.702,0.677,2,-6.364,1,0.146,0.00589,0.0,0.655,0.25,124.892,307467,4,1jZi8HvWkfWIQcmlxmqber,No New Friends - SFTB Remix,62y3BHKehWnb1hlaPclDAA,"0QHgL1lAIqAw0HtD7YldmP,3TVXtAsR1Inumwj472S9r4,1sBkRIssrMs1AbVkOJbc7a,55Aa2cqylxrFIXC767Z865",DJ Khaled|Drake|Rick Ross|Lil Wayne,10860995|83626299|7103142|14232381,hip hop|miami hip hop|pop rap|rap|canadian hip hop|canadian pop|hip hop|pop rap|rap|dirty south rap|gangster rap|hip hop|rap|southern hip hop|trap|hip hop|new orleans rap|pop rap|rap|trap,74|96|76|85,2013-01-01,day,42,2024-01-08
0.793,0.524,8,-7.827,1,0.156,0.0319,0.0,0.156,0.579,86.325,174133,4,5DI9jxTHrEiFAhStG7VA8E,Started From the Bottom,62y3BHKehWnb1hlaPclDAA,3TVXtAsR1Inumwj472S9r4,Drake,83626299,canadian hip hop|canadian pop|hip hop|pop rap|rap,96,2013-01-01,day,69,2024-01-08
0.669,0.634,11,-6.476,1,0.0327,0.0125,0.0,0.0946,0.496,124.906,255053,4,2XHzzp1j4IfTNp1FTn7YFg,Love Me,62y3BHKehWnb1hlaPclDAA,"55Aa2cqylxrFIXC767Z865,3TVXtAsR1Inumwj472S9r4,1RyvyyTE3xzB2ZywiAwp0i",Lil Wayne|Drake|Future,14232381|83626299|15692678,hip hop|new orleans rap|pop rap|rap|trap|canadian hip hop|canadian pop|hip hop|pop rap|rap|atl hip hop|hip hop|rap|southern hip hop|trap,85|96|88,2013-01-01,day,87,2024-01-08
0.6,0.592,1,-4.947,1,0.0545,0.0191,0.0,0.0955,0.0663,130.205,269267,4,08ljt6NCNAgewQaMya1URa,Bugatti,62y3BHKehWnb1hlaPclDAA,"31HjiqargV4NAw4GZqUale,1RyvyyTE3xzB2ZywiAwp0i,1sBkRIssrMs1AbVkOJbc7a",Ace Hood|Future|Rick Ross,1850098|15692678|7103142,dirty south rap|miami hip hop|pop rap|rap|southern hip hop|trap|atl hip hop|hip hop|rap|southern hip hop|trap|dirty south rap|gangster rap|hip hop|rap|southern hip hop|trap,55|88|76,2013-01-01,day,64,2024-01-08
0.853,0.693,1,-6.87,1,0.275,0.0239,0.0,0.11,0.662,95.967,233787,4,4X5f3vT8MRuXF68pfjNte5,"F**kin' Problems (feat. Drake, 2 Chainz & Kendrick Lamar)",62y3BHKehWnb1hlaPclDAA,"13ubrt8QOOCPljQ2FL1Kca,3TVXtAsR1Inumwj472S9r4,17lzZA2AlOHwCwFALHttmp,2YZyLoL8N0Wb9xBt1NhZWg",A$AP Rocky|Drake|2 Chainz|Kendrick Lamar,13299639|83626299|8017349|26526500,east coast hip hop|hip hop|rap|trap|canadian hip hop|canadian pop|hip hop|pop rap|rap|atl hip hop|hip hop|pop rap|rap|southern hip hop|trap|conscious hip hop|hip hop|rap|west coast rap,81|96|75|87,2013,year,78,2024-01-08
0.516,0.755,0,-8.868,0,0.351,0.0258,0.0,0.329,0.633,99.764,187907,4,0pgeVJrdNok4KhbiM58ayZ,All Gold Everything,62y3BHKehWnb1hlaPclDAA,0I5HubncQ8E1MFZOlPDY4J,Trinidad James,311213,atl hip hop|dirty south rap|trap,53,2013-01-01,day,56,2024-01-08
0.577,0.447,8,-5.892,1,0.277,0.00627,0.00022,0.0899,0.189,74.236,247800,4,6REbwUNlppTfcnV4d4ZoZi,Swimming Pools (Drank),62y3BHKehWnb1hlaPclDAA,2YZyLoL8N0Wb9xBt1NhZWg,Kendrick Lamar,26526500,conscious hip hop|hip hop|rap|west coast rap,87,2012-01-01,day,83,2024-01-08
0.936,0.702,10,-5.305,1,0.0615,0.0473,0.0,0.0838,0.704,97.524,207040,4,6J5sxraPPZ4b0CVOGAgpXj,I'm Different,62y3BHKehWnb1hlaPclDAA,17lzZA2AlOHwCwFALHttmp,2 Chainz,8017349,atl hip hop|hip hop|pop rap|rap|southern hip hop|trap,75,2012-01-01,day,60,2024-01-08
0.734,0.892,2,-1.856,1,0.125,0.0648,0.0,0.58,0.605,138.031,303533,4,3Jv1XgMPVjdN5xGfnRJ20s,Pop That,62y3BHKehWnb1hlaPclDAA,"6vXTefBL93Dj5IqAWq6OTv,1sBkRIssrMs1AbVkOJbc7a,3TVXtAsR1Inumwj472S9r4,55Aa2cqylxrFIXC767Z865",French Montana|Rick Ross|Drake|Lil Wayne,5255986|7103142|83626299|14232381,hip hop|pop rap|rap|southern hip hop|trap|dirty south rap|gangster rap|hip hop|rap|southern hip hop|trap|canadian hip hop|canadian pop|hip hop|pop rap|rap|hip hop|new orleans rap|pop rap|rap|trap,73|76|96|85,2013-01-01,day,59,2024-01-08
0.563,0.496,6,-9.381,0,0.406,0.0685,5.8e-05,0.173,0.426,139.993,329320,4,4qikXelSRKvoCqFcHLB2H2,Mercy,62y3BHKehWnb1hlaPclDAA,"5K4W6rqBFWDnAN6FQUkS6x,0c173mlxpT3dSFRgMO8XPh,0ONHkAv9pCAFxb0zJwDNTy,17lzZA2AlOHwCwFALHttmp",Kanye West|Big Sean|Pusha T|2 Chainz,22986248|11115824|2882949|8017349,chicago rap|hip hop|rap|detroit hip hop|hip hop|pop rap|r&b|rap|trap|gangster rap|hip hop|pop rap|rap|southern hip hop|trap|virginia hip hop|atl hip hop|hip hop|pop rap|rap|southern hip hop|trap,91|75|72|75,2012-01-01,day,73,2024-01-08
0.753,0.59,1,-2.623,1,0.0485,0.0591,0.0,0.15,0.161,140.002,306600,4,5qkWTBmDmZjogwIvbKtJQv,Birthday Song,62y3BHKehWnb1hlaPclDAA,"17lzZA2AlOHwCwFALHttmp,5K4W6rqBFWDnAN6FQUkS6x",2 Chainz|Kanye West,8017349|22986248,atl hip hop|hip hop|pop rap|rap|southern hip hop|trap|chicago rap|hip hop|rap,75|91,2012-01-01,day,56,2024-01-08
0.503,0.795,10,-4.505,1,0.335,0.178,0.0,0.042,0.265,149.981,289707,4,2zM5Rfoec07V6N0xhurDZF,Amen (feat. Drake),62y3BHKehWnb1hlaPclDAA,"20sxb77xiYeusSH8cVdatc,3TVXtAsR1Inumwj472S9r4",Meek Mill|Drake,7704881|83626299,hip hop|philly rap|pop rap|rap|southern hip hop|trap|canadian hip hop|canadian pop|hip hop|pop rap|rap,73|96,2012-06-19,day,25,2024-01-08
0.831,0.665,1,-3.627,0,0.0711,0.149,0.0,0.0636,0.663,129.989,238760,4,1POAx4NMLOBPVKZUSsBh92,Cashin' Out,62y3BHKehWnb1hlaPclDAA,7Kp7SzuRuNiPFCy7JIwnLx,Ca$h Out,510006,atl hip hop|dirty south rap|futuristic swag|trap,46,2012-03-26,day,62,2024-01-08
0.787,0.666,11,-4.475,1,0.0485,0.0409,1.91e-05,0.296,0.485,140.008,219027,4,1ms5tNNdPouTtcD2oVF9Oz,"Work Hard, Play Hard",62y3BHKehWnb1hlaPclDAA,137W8MRPWKqSmrBGDBFSop,Wiz Khalifa,11073613,hip hop|pittsburgh rap|pop rap|rap|southern hip hop|trap,80,2012-12-04,day,62,2024-01-08
0.714,0.846,11,-2.802,0,0.0787,0.00146,0.0,0.682,0.634,141.976,267173,4,2lD4LsB3iQVnddkVM2RFAl,Take It To The Head,62y3BHKehWnb1hlaPclDAA,"0QHgL1lAIqAw0HtD7YldmP,7bXgB6jMjp9ATFy66eO08Z,1sBkRIssrMs1AbVkOJbc7a,0hCNtLu0JehylgoiP8L4Gh,55Aa2cqylxrFIXC767Z865",DJ Khaled|Chris Brown|Rick Ross|Nicki Minaj|Lil Wayne,10860995|20955452|7103142|30496118|14232381,hip hop|miami hip hop|pop rap|rap|r&b|rap|dirty south rap|gangster rap|hip hop|rap|southern hip hop|trap|hip pop|pop|queens hip hop|rap|hip hop|new orleans rap|pop rap|rap|trap,74|86|76|88|85,2012-01-01,day,55,2024-01-08
0.766,0.442,1,-8.558,1,0.356,0.000107,6.12e-05,0.111,0.39,201.8,181573,4,4Kz4RdRCceaA9VgTqBhBfa,The Motto,62y3BHKehWnb1hlaPclDAA,"3TVXtAsR1Inumwj472S9r4,55Aa2cqylxrFIXC767Z865",Drake|Lil Wayne,83626299|14232381,canadian hip hop|canadian pop|hip hop|pop rap|rap|hip hop|new orleans rap|pop rap|rap|trap,96|85,2011-11-15,day,78,2024-01-08
0.813,0.782,9,-6.005,1,0.218,0.0227,0.00165,0.0956,0.681,150.003,268493,4,4It00tEYLwpjQtAhqnjCPC,Beez In The Trap,62y3BHKehWnb1hlaPclDAA,"0hCNtLu0JehylgoiP8L4Gh,17lzZA2AlOHwCwFALHttmp",Nicki Minaj|2 Chainz,30496118|8017349,hip pop|pop|queens hip hop|rap|atl hip hop|hip hop|pop rap|rap|southern hip hop|trap,88|75,2012-01-01,day,62,2024-01-08
0.884,0.471,1,-8.978,1,0.112,0.527,0.0,0.174,0.524,97.017,231120,4,48zmVAYyyhoWfTDe5pGynC,UP!,62y3BHKehWnb1hlaPclDAA,"1rBxtaN521NYi8Z35G7fUn,3q7HBObVc0L8jNeTe5Gofh",LoveRance|50 Cent,38998|13325784,bay area hip hop|west coast trap|east coast hip hop|gangster rap|hip hop|pop rap|queens hip hop|rap,35|82,2011-01-01,day,47,2024-01-08
0.715,0.655,0,-6.425,1,0.137,0.0525,0.0,0.115,0.531,95.078,207333,4,5HQVUIKwCEXpe7JIHyY734,"Young, Wild & Free (feat. Bruno Mars)",62y3BHKehWnb1hlaPclDAA,"7hJcb9fa4alzcOq3EaNPoG,137W8MRPWKqSmrBGDBFSop,0du5cEVh5yTK9QJze8zA0C",Snoop Dogg|Wiz Khalifa|Bruno Mars,10871699|11073613|52986983,g funk|gangster rap|hip hop|pop rap|rap|west coast rap|hip hop|pittsburgh rap|pop rap|rap|southern hip hop|trap|dance pop|pop,81|80|87,2011-10-11,day,78,2024-01-08
0.789,0.858,1,-5.542,1,0.311,0.127,0.0,0.349,0.775,140.022,219333,4,1auxYwYrFRqZP7t3s7w4um,Ni**as In Paris,62y3BHKehWnb1hlaPclDAA,"3nFkdlSjzX9mRTtwJOzDYB,5K4W6rqBFWDnAN6FQUkS6x",JAY-Z|Kanye West,8801570|22986248,east coast hip hop|gangster rap|hip hop|pop rap|rap|chicago rap|hip hop|rap,82|91,2011-08-08,day,86,2024-01-08
0.599,0.815,8,-7.638,0,0.337,0.125,0.0,0.0877,0.623,72.437,311640,4,2KjKMrjCqNtqOiMVGgENxS,I Do,62y3BHKehWnb1hlaPclDAA,"4yBK75WVCQXej1p04GWqxH,3nFkdlSjzX9mRTtwJOzDYB,74V3dE1a51skRkdII8y2C6",Jeezy|JAY-Z|André 3000,2381764|8801570|482650,atl hip hop|crunk|dirty south rap|gangster rap|old school atlanta hip hop|rap|southern hip hop|trap|east coast hip hop|gangster rap|hip hop|pop rap|rap|atl hip hop|dirty south rap|hip hop|southern hip hop,69|82|65,2011-01-01,day,28,2024-01-08
0.765,0.695,2,-6.57,1,0.342,0.02,0.0437,0.13,0.7,159.865,197760,4,67W5fd1ld7dqHNCfaQu52I,Dance (A$$),62y3BHKehWnb1hlaPclDAA,0c173mlxpT3dSFRgMO8XPh,Big Sean,11115824,detroit hip hop|hip hop|pop rap|r&b|rap|trap,75,2011-01-01,day,46,2024-01-08
